iter	Passed	Remaining
548	20927	17191
549	20963	17151
550	20992	17106
551	21028	17066
552	21064	17027
553	21092	16980
554	21120	16934
555	21148	16888
556	21177	16842
557	21207	16798
558	21236	16753
559	21268	16710
560	21297	16665
561	21324	16619
562	21351	16573
563	21378	16526
564	21407	16482
565	21434	16435
566	21461	16389
567	21490	16344
568	21519	16300
569	21547	16255
570	21575	16209
571	21604	16165
572	21632	16120
573	21665	16079
574	21699	16038
575	21741	16004
576	21772	15961
577	21804	15919
578	21835	15876
579	21860	15829
580	21891	15787
581	21923	15745
582	21954	15703
583	21985	15660
584	22014	15617
585	22047	15575
586	22076	15532
587	22105	15488
588	22134	15444
589	22164	15402
590	22193	15359
591	22222	15315
592	22258	15276
593	22294	15238
594	22328	15198
595	22356	15154
596	22388	15113
597	22418	15070
598	22447	15027
599	22479	14986
600	22508	14943
601	22539	14901
602	22570	14859
603	22602	14818
604	22634	14777
605	22667	14737
606	22699	14696
607	22731	14655
608	22763	14614
609	22793	14573
610	22818	14527
611	22851	14487
612	22883	14446
613	22910	14402
614	22943	14362
615	22974	14321
616	23006	14281
617	23038	14240
618	23071	14200
619	23104	14160
620	23136	14120
621	23170	14080
622	23202	14040
623	23233	13999
624	23267	13960
625	23298	13919
626	23338	13884
627	23373	13845
628	23407	13806
629	23443	13768
630	23481	13731
631	23524	13697
632	23560	13659
633	23597	13622
634	23633	13584
635	23675	13550
636	23713	13513
637	23753	13477
638	23795	13443
639	23830	13404
640	23861	13363
641	23892	13323
642	23927	13284
643	23965	13247
644	23998	13208
645	24030	13168
646	24061	13127
647	24094	13088
648	24120	13044
649	24159	13009
650	24197	12972
651	24227	12931
652	24262	12892
653	24292	12851
654	24321	12810
655	24352	12770
656	24382	12729
657	24419	12692
658	24448	12650
659	24469	12605
660	24498	12564
661	24522	12520
662	24557	12482
663	24593	12444
664	24624	12405
665	24654	12364
666	24684	12323
667	24719	12285
668	24746	12244
669	24777	12203
670	24808	12163
671	24840	12124
672	24871	12084
673	24902	12044
674	24931	12004
675	24961	11963
676	24991	11923
677	25013	11879
678	25048	11841
679	25081	11803
680	25106	11760
681	25138	11721
682	25171	11682
683	25201	11642
684	25231	11602
685	25262	11563
686	25293	11523
687	25323	11483
688	25353	11444
689	25385	11404
690	25421	11367
691	25452	11328
692	25485	11290
693	25519	11252
694	25555	11215
695	25586	11175
696	25606	11131
697	25636	11092
698	25672	11054
699	25705	11016
700	25743	10980
701	25777	10942
702	25812	10905
703	25845	10866
704	25876	10827
705	25910	10790
706	25953	10755
707	25987	10718
708	26019	10679
709	26051	10640
710	26083	10601
711	26115	10563
712	26152	10527
713	26186	10489
714	26217	10450
715	26248	10411
716	26280	10372
717	26311	10334
718	26343	10295
719	26375	10256
720	26408	10219
721	26441	10180
722	26471	10141
723	26501	10102
724	26531	10063
725	26562	10024
726	26592	9985
727	26623	9947
728	26654	9908
729	26684	9869
730	26714	9830
731	26745	9792
732	26776	9753
733	26807	9715
734	26840	9677
735	26870	9638
736	26901	9599
737	26931	9561
738	26962	9522
739	26993	9484
740	27024	9445
741	27055	9407
742	27083	9368
743	27112	9329
744	27141	9290
745	27171	9251
746	27201	9212
747	27229	9173
748	27261	9135
749	27290	9096
750	27319	9058
751	27348	9019
752	27377	8980
753	27409	8942
754	27442	8905
755	27471	8866
756	27500	8827
757	27527	8788
758	27555	8749
759	27582	8710
760	27608	8670
761	27635	8631
762	27662	8592
763	27690	8553
764	27718	8514
765	27745	8475
766	27772	8436
767	27799	8397
768	27826	8358
769	27859	8321
770	27886	8282
771	27916	8244
772	27944	8206
773	27971	8167
774	27997	8128
775	28024	8089
776	28052	8051
777	28079	8012
778	28106	7973
779	28134	7935
780	28163	7897
781	28190	7858
782	28219	7820
783	28247	7782
784	28274	7744
785	28301	7705
786	28337	7669
787	28372	7633
788	28402	7595
789	28433	7558
790	28467	7521
791	28496	7483
792	28524	7445
793	28553	7408
794	28584	7370
795	28615	7333
796	28643	7295
797	28671	7257
798	28699	7219
799	28729	7182
800	28759	7144
801	28789	7107
802	28822	7070
803	28852	7033
804	28881	6996
805	28910	6958
806	28938	6920
807	28968	6883
808	28997	6846
809	29025	6808
810	29057	6771
811	29086	6734
812	29115	6696
813	29143	6659
814	29172	6622
815	29202	6584
816	29230	6547
817	29259	6510
818	29290	6473
819	29320	6436
820	29350	6399
821	29378	6361
822	29408	6324
823	29435	6287
824	29465	6250
825	29494	6213
826	29526	6176
827	29561	6140
828	29592	6104
829	29623	6067
830	29655	6030
831	29689	5994
832	29722	5958
833	29763	5924
834	29795	5887
835	29829	5851
836	29862	5815
837	29900	5780
838	29931	5743
839	29964	5707
840	29996	5671
841	30038	5636
842	30071	5600
843	30108	5565
844	30139	5528
845	30170	5492
846	30202	5455
847	30235	5419
848	30269	5383
849	30304	5347
850	30336	5311
851	30369	5275
852	30401	5239
853	30433	5202
854	30465	5166
855	30496	5130
856	30526	5093
857	30557	5057
858	30588	5020
859	30618	4984
860	30646	4947
861	30676	4911
862	30706	4874
863	30736	4838
864	30765	4801
865	30795	4765
866	30824	4728
867	30854	4692
868	30883	4655
869	30913	4619
870	30948	4583
871	30987	4548
872	31017	4512
873	31048	4476
874	31079	4439
875	31118	4404
876	31150	4368
877	31187	4333
878	31220	4297
879	31252	4261
880	31299	4227
881	31343	4193
882	31382	4158
883	31418	4122
884	31452	4087
885	31487	4051
886	31521	4015
887	31557	3980
888	31594	3944
889	31628	3909
890	31662	3873
891	31698	3837
892	31734	3802
893	31771	3767
894	31803	3731
895	31838	3695
896	31870	3659
897	31903	3623
898	31936	3587
899	31975	3552
900	32010	3517
901	32044	3481
902	32075	3445
903	32111	3410
904	32146	3374
905	32181	3338
906	32216	3303
907	32249	3267
908	32282	3231
909	32313	3195
910	32346	3160
911	32380	3124
912	32412	3088
913	32446	3052
914	32480	3017
915	32512	2981
916	32548	2946
917	32581	2910
918	32623	2875
919	32665	2840
920	32702	2805
921	32753	2770
922	32791	2735
923	32829	2700
924	32866	2664
925	32906	2629
926	32945	2594
927	32981	2558
928	33018	2523
929	33053	2487
930	33088	2452
931	33128	2417
932	33167	2381
933	33204	2346
934	33237	2310
935	33271	2274
936	33305	2239
937	33340	2203
938	33376	2168
939	33411	2132
940	33446	2097
941	33483	2061
942	33517	2026
943	33551	1990
944	33585	1954
945	33622	1919
946	33666	1884
947	33710	1849
948	33754	1814
949	33793	1778
950	33829	1743
951	33867	1707
952	33902	1672
953	33937	1636
954	33974	1600
955	34010	1565
956	34048	1529
957	34087	1494
958	34124	1458
959	34160	1423
960	34197	1387
961	34231	1352
962	34265	1316
963	34300	1280
964	34344	1245
965	34379	1210
966	34414	1174
967	34447	1138
968	34482	1103
969	34515	1067
970	34549	1031
971	34582	996
972	34615	960
973	34649	924
974	34681	889
975	34714	853
976	34749	818
977	34782	782
978	34814	746
979	34847	711
980	34880	675
981	34914	639
982	34946	604
983	34981	568
984	35014	533
985	35045	497
986	35078	462
987	35111	426
988	35146	390
989	35179	355
990	35215	319
991	35249	284
992	35283	248
993	35323	213
994	35357	177
995	35391	142
996	35426	106
997	35463	71
998	35496	35
999	35529	0
